Statistic,Value
Mean,0.01465799168615
Median,0.0002406929304187516
Std Dev,0.05539331970305132
25th percentile,2.533759453387214e-05
50th percentile,0.0002406929304187516
75th percentile,0.0035865928342600287
90th percentile,0.02529277431569829
95th percentile,0.0721108318549585
99th percentile,0.32864224338344095
