region,efficiency_change,clustering_change,density_change,component_change
Nucleus prepositus,0.0008897789753739146,-2.201975173335144e-05,0.003376040707230368,-1
Parapyramidal nucleus,0.0008897789753739146,-3.426084226226713e-05,0.003376040707230368,-1
Lateral vestibular nucleus,0.0009854336747093498,-2.1386305361679144e-05,0.0036196884085157063,-1
Medial vestibular nucleus,0.0007804593189905387,-3.6211006304949804e-05,0.0030975861914758593,-1
Spinal vestibular nucleus,-0.0018432124342113848,0.00011109002441962224,-0.006926776375689698,0
Superior vestibular nucleus,0.0008897789753739146,-3.165852439219721e-05,0.003376040707230368,-1
Nucleus x,0.001299727686811687,-8.65780895958365e-05,0.004420245141310252,-1
Hypoglossal nucleus,-0.0009549902260961362,0.0005974718609063049,-0.0030632199695946015,0
Nucleus y,0.0015320319566263798,-0.0001458332383496042,0.005011960987288631,-1
Nucleus raphe magnus,0.0008897789753739146,-4.049259359048278e-05,0.003376040707230368,-1
Nucleus raphe pallidus,0.0006164798344153997,-5.9550052890364754e-05,0.002679904417843905,-1
Nucleus raphe obscurus,-0.002143841489265781,5.96194270362249e-05,-0.0071704240769750365,0
Lingula (I),0.0008897789753739146,-2.0071976003543743e-05,0.003376040707230368,-1
Central lobule,0.0006164798344153997,-4.668386266529159e-05,0.002679904417843905,-1
Culmen,0.0006164798344153997,-5.2770937044444084e-05,0.002679904417843905,-1
Declive (VI),0.0007121345337508349,-2.3079902864622672e-05,0.0029235521191292436,-1
Folium-tuber vermis (VII),0.0008077892330862701,-2.5902442053669694e-05,0.003167199820414391,-1
Pyramus (VIII),0.0009307738465175868,-2.860524474994121e-05,0.003480461150638452,-1
Uvula (IX),0.0006984695767028942,-2.8675778087913445e-05,0.0028887453046598822,-1
Nodulus (X),0.0007394644478467164,-2.0996732396811696e-05,0.002993165748067775,-1
Simple lobule,0.0006438097485111311,-4.332933614824583e-05,0.002749518046782628,-1
Ansiform lobule,-0.000804675698568938,-3.458217695802629e-06,-0.0039681971457972325,0
Paramedian lobule,0.0006574747055590719,-3.5055808836426075e-05,0.0027843248612519893,-1
Copula pyramidis,0.0006574747055590719,-3.72525923040646e-05,0.0027843248612519893,-1
Paraflocculus,-0.0009823201401920178,0.0001531073407693466,-0.004455492548367718,0
Flocculus,0.0006848046196549533,-2.3930944055371542e-05,0.002853938490190521,-1
Fastigial nucleus,0.0010400935029011129,-3.861480536157114e-05,0.00375891566639296,-1
Interposed nucleus,-0.002143841489265781,0.0001823887808010184,-0.0072052308914443974,0
Dentate nucleus,-0.00043572185827498784,0.001463348205438999,-0.0012184588027205523,0
Vestibulocerebellar nucleus,0.0009581037606134683,-3.044703345499309e-05,0.0035500747795769835,-1
fiber tracts,0.0005891499203195182,-5.507391981486488e-05,0.0026102907889051824,-1
