region,efficiency_change,clustering_change,density_change,component_change
"Endopiriform nucleus, dorsal part",0.0006574747055590719,-5.814168150578909e-05,0.0027843248612519893,-1
"Endopiriform nucleus, ventral part",0.0007941242760383293,-3.2919628151504344e-05,0.0031323930059452207,-1
Lateral amygdalar nucleus,0.0007531294048946571,-3.082060658488236e-05,0.0030279725625371365,-1
Basolateral amygdalar nucleus,0.0008487841042300923,-2.8391560103914386e-05,0.003271620263822475,-1
Basomedial amygdalar nucleus,-0.0021301765322178407,4.6188212547536136e-05,-0.00758810585060699,0
Posterior amygdalar nucleus,0.0007394644478467164,-4.048434777909554e-05,0.002993165748067775,-1
Caudoputamen,-0.0021301765322178407,4.1173415708928964e-05,-0.008005787624238753,0
Nucleus accumbens,-0.0022394961886012163,5.4009347235530745e-05,-0.008005787624238753,0
Fundus of striatum,0.0007257994907987756,-4.888008588425904e-05,0.002958358933598605,-1
Olfactory tubercle,0.000602814877367459,-5.1237877317977764e-05,0.002645097603374544,-1
"Lateral septal nucleus, caudal (caudodorsal) part",0.0007257994907987756,-5.720589725838588e-05,0.002958358933598605,-1
"Lateral septal nucleus, rostral (rostroventral) part",0.0006984695767028942,-5.516468635217391e-05,0.0028887453046598822,-1
"Lateral septal nucleus, ventral part",0.0008487841042300923,-4.660743830834084e-05,0.003271620263822475,-1
Septofimbrial nucleus,0.0007394644478467164,-4.7286501004964126e-05,0.002993165748067775,-1
Septohippocampal nucleus,0.0009581037606134683,-3.1581736360446666e-05,0.0035500747795769835,-1
Anterior amygdalar area,-0.002143841489265781,0.00016709715421135845,-0.007831753551892136,0
Bed nucleus of the accessory olfactory tract,0.0007121345337508349,-4.232805342599075e-05,0.0029235521191292436,-1
Central amygdalar nucleus,-0.002198501317457544,0.00017222122113928068,-0.007866560366361498,0
Intercalated amygdalar nucleus,0.0008214541901342109,-2.558359240482721e-05,0.003202006634883752,-1
Medial amygdalar nucleus,-0.002212166274505485,4.7747361929468426e-05,-0.00821462851105473,0
"Globus pallidus, external segment",0.0006711396626070126,-5.724734948752301e-05,0.0028191316757211595,-1
"Globus pallidus, internal segment",0.0007531294048946571,-4.7275096858004084e-05,0.0030279725625371365,-1
Substantia innominata,-0.0019115372194510886,0.00017765914556062086,-0.0071704240769750365,0
Magnocellular nucleus,0.0007941242760383293,-3.244976909403186e-05,0.0031323930059452207,-1
Medial septal nucleus,0.0009444388035655276,-3.3297051793410127e-05,0.003515267965107813,-1
Diagonal band nucleus,0.0006164798344153997,-5.277093704470618e-05,0.002679904417843905,-1
Triangular nucleus of septum,-0.001241954324102592,0.0001808842756231903,-0.005186435652223541,0
Bed nuclei of the stria terminalis,-0.0020755167040262274,0.0002988223936686208,-0.00758810585060699,0
Bed nucleus of the anterior commissure,0.001135748202236548,-7.81864146966732e-05,0.004002563367678299,-1
Ventral anterior-lateral complex of the thalamus,0.0008077892330862701,-2.8429228976113306e-05,0.003167199820414391,-1
Ventral medial nucleus of the thalamus,-0.0005177116005624824,6.296809574783594e-05,-0.0025063109380855843,0
Ventral posterolateral nucleus of the thalamus,0.0007121345337508349,-4.257488769587744e-05,0.0029235521191292436,-1
"Ventral posterolateral nucleus of the thalamus, parvicellular part",0.0010127635888052314,-3.8973359295605394e-05,0.0036893020374544287,-1
Ventral posteromedial nucleus of the thalamus,0.0007941242760383293,-2.511684747862435e-05,0.0031323930059452207,-1
"Ventral posteromedial nucleus of the thalamus, parvicellular part",0.0008214541901342109,-1.830313710744285e-05,0.003202006634883752,-1
Posterior triangular thalamic nucleus,0.0008624490612780332,-2.2540723179418463e-05,0.0033064270782918364,-1
"Subparafascicular nucleus, magnocellular part",0.0008214541901342109,-3.8390533968471486e-05,0.003202006634883752,-1
"Subparafascicular nucleus, parvicellular part",0.0009171088894697961,-3.0437678647206296e-05,0.0034456543361690906,-1
Subparafascicular area,0.0008487841042300923,-5.1424794339380616e-05,0.003271620263822475,-1
Peripeduncular nucleus,0.0008487841042300923,-2.5594235318971058e-05,0.003271620263822475,-1
Medial geniculate complex,-0.0012829491952464141,1.6722486873275766e-05,-0.00546489016797805,0
Dorsal part of the lateral geniculate complex,-0.0004630517723708694,-5.4112679461533025e-06,-0.0026803450104322,0
Lateral posterior nucleus of the thalamus,-0.00102331501133584,0.00012068485195951022,-0.004490299362837079,0
Posterior complex of the thalamus,-0.0011326346677192158,0.00017589992146170374,-0.00452510617730625,0
Posterior limiting nucleus of the thalamus,0.0008351191471821516,-2.9212649713387377e-05,0.0032368134493531136,-1
Suprageniculate nucleus,-0.001774887648971831,0.00018743503350262348,-0.006822355932281805,0
Anteroventral nucleus of thalamus,-0.001405933808677731,1.55786555073504e-05,-0.005708537869263388,0
Anteromedial nucleus,-0.0020071919187865236,0.00015772552165817165,-0.006787549117812443,0
Anterodorsal nucleus,0.0007531294048946571,-3.761532638391262e-05,0.0030279725625371365,-1
Interanteromedial nucleus of the thalamus,0.0011084182881406666,-7.351019146003938e-05,0.003932949738739576,-1
Interanterodorsal nucleus of the thalamus,0.0009854336747093498,-5.020004252193925e-05,0.0036196884085157063,-1
Lateral dorsal nucleus of thalamus,0.0006848046196549533,-4.4978985660763656e-05,0.002853938490190521,-1
Intermediodorsal nucleus of the thalamus,0.0009717687176614091,-3.495670587916307e-05,0.003584881594046345,-1
Mediodorsal nucleus of thalamus,-0.002157506446313722,4.295124426644034e-05,-0.007831753551892136,0
Submedial nucleus of the thalamus,0.0008487841042300923,-2.553805383780166e-05,0.003271620263822475,-1
Perireunensis nucleus,0.0009034439324218554,-4.231812748754619e-05,0.0034108475216997293,-1
Paraventricular nucleus of the thalamus,0.0007121345337508349,-4.695119053305464e-05,0.0029235521191292436,-1
Parataenial nucleus,0.0008351191471821516,-4.719696833641136e-05,0.0032368134493531136,-1
Nucleus of reuniens,-0.0020891816610740183,5.2174097354114196e-05,-0.00730965133485229,0
Xiphoid thalamic nucleus,0.0010537584599490536,-5.669376806144374e-05,0.0037937224808623216,-1
Rhomboid nucleus,0.0009444388035655276,-1.4713054186572943e-05,0.003515267965107813,-1
Central medial nucleus of the thalamus,0.0009581037606134683,-3.76112932652243e-05,0.0035500747795769835,-1
Paracentral nucleus,0.0009171088894697961,-1.821003660586019e-05,0.0034456543361690906,-1
Central lateral nucleus of the thalamus,0.0006848046196549533,-4.137620542458405e-05,0.002853938490190521,-1
Parafascicular nucleus,0.0007394644478467164,-2.617094602848417e-05,0.002993165748067775,-1
Posterior intralaminar thalamic nucleus,0.0009034439324218554,-4.2060089780029725e-05,0.0034108475216997293,-1
Reticular nucleus of the thalamus,0.0006711396626070126,-5.978784126139533e-05,0.0028191316757211595,-1
Intergeniculate leaflet of the lateral geniculate complex,0.0008487841042300923,-2.5134010709713495e-05,0.003271620263822475,-1
Intermediate geniculate nucleus,0.0010537584599490536,-3.3951926483363946e-05,0.0037937224808623216,-1
Ventral part of the lateral geniculate complex,-0.002198501317457544,4.340509132631337e-05,-0.008110208067646837,0
Subgeniculate nucleus,0.0011220832451886073,-3.8930220736877746e-05,0.003967756553208937,-1
Medial habenula,0.0007121345337508349,-4.948253941087787e-05,0.0029235521191292436,-1
Lateral habenula,0.0007804593189905387,-4.9383242057425215e-05,0.0030975861914758593,-1
Supraoptic nucleus,0.0008214541901342109,-4.168267398849786e-05,0.003202006634883752,-1
Accessory supraoptic group,0.001409047343195063,-0.00015804371661442513,0.004698699657064761,-1
Paraventricular hypothalamic nucleus,-0.002048186789930346,0.00017079949950210918,-0.007100810448036314,0
"Periventricular hypothalamic nucleus, anterior part",0.0011084182881406666,-6.401952928885623e-05,0.003932949738739576,-1
"Periventricular hypothalamic nucleus, intermediate part",0.0007667943619425979,-4.517348737223675e-05,0.003062779377006498,-1
Arcuate hypothalamic nucleus,-0.0021301765322178407,3.4504873563637395e-05,-0.007831753551892136,0
