degree,betweenness,pagerank,region
0.33650793650793653,0.0,0.0030238716473913983,"Frontal pole, cerebral cortex"
1.0698412698412698,0.0004842598234284569,0.004735808658567307,Primary motor area
1.3365079365079364,0.0008952846094171237,0.0055712111433638585,Secondary motor area
1.019047619047619,0.000292430304132365,0.005418110721154257,"Primary somatosensory area, nose"
1.276190476190476,0.0006820489574479372,0.004570004056133872,"Primary somatosensory area, barrel field"
1.1333333333333333,0.000409179471516819,0.003122334921581473,"Primary somatosensory area, lower limb"
1.1968253968253968,0.0005676378227410036,0.0040820439350037,"Primary somatosensory area, mouth"
0.3396825396825397,0.0,0.003587553406316061,"Primary somatosensory area, upper limb"
0.3396825396825397,0.0,0.003311094488790527,"Primary somatosensory area, trunk"
0.33650793650793653,0.0,0.004740652629276804,"Primary somatosensory area, unassigned"
1.2317460317460318,0.000636097522320271,0.004464348719604721,Supplemental somatosensory area
1.2507936507936508,0.0006476307937112439,0.003939083614231072,Gustatory areas
1.3206349206349206,0.0007734443289816463,0.0037254766852373453,Visceral area
1.2158730158730158,0.0005863132839903941,0.004150666887422434,Dorsal auditory area
0.8507936507936508,0.00015851601857642958,0.0051979051537526045,Primary auditory area
0.9238095238095239,0.00020253720665054667,0.004773993257003591,Posterior auditory area
0.34285714285714286,0.0,0.003511124636254354,Ventral auditory area
1.273015873015873,0.0006631215544261193,0.004316802477583741,Anterolateral visual area
1.3142857142857143,0.000766203022619886,0.0049644985283273735,Anteromedial visual area
1.161904761904762,0.0004633667903779744,0.006091789510527377,Lateral visual area
1.3428571428571427,0.0008959762462672268,0.004562702444946458,Primary visual area
1.1650793650793652,0.00043706267125301655,0.004539998678886135,Posterolateral visual area
1.3365079365079364,0.0008461647189890797,0.004988905634016787,posteromedial visual area
0.9587301587301588,0.00022944717686978995,0.005534958610783302,Laterointermediate area
1.2507936507936508,0.0005956826803472113,0.004976256994055257,Postrhinal area
1.3238095238095238,0.0008179423644367478,0.006041471863904763,"Anterior cingulate area, dorsal part"
1.1555555555555554,0.00044303687051618193,0.005562028841082058,"Anterior cingulate area, ventral part"
1.3365079365079364,0.000842837314232073,0.0032898937460815857,Prelimbic area
0.326984126984127,0.0,0.0034987199127872147,Infralimbic area
0.3333333333333333,0.0,0.002872037743082254,"Orbital area, lateral part"
1.3111111111111111,0.0007833834834573279,0.0055551399986818375,"Orbital area, medial part"
0.5492063492063493,3.2897712591576546e-05,0.0056540648728172,"Orbital area, ventrolateral part"
1.2507936507936508,0.000733334476822559,0.0031269130147459907,"Agranular insular area, dorsal part"
0.7904761904761904,8.216106867824906e-05,0.0032660367348832818,"Agranular insular area, posterior part"
1.2857142857142858,0.0007832841731322391,0.0031377585240527496,"Agranular insular area, ventral part"
1.2857142857142858,0.0007254714488454315,0.005582321474246649,"Retrosplenial area, lateral agranular part"
1.1904761904761905,0.0005540052540008151,0.006796133817915586,"Retrosplenial area, dorsal part"
1.3174603174603174,0.0007882480059761115,0.005833847890682389,"Retrosplenial area, ventral part"
0.9650793650793651,0.0002375662524953728,0.004788209546595715,Anterior area
1.3174603174603174,0.0007633462458284182,0.004768648954750953,Rostrolateral visual area
0.33650793650793653,0.0,0.005258924609921403,Temporal association areas
0.33650793650793653,0.0,0.0026475038920825834,Perirhinal area
0.3396825396825397,0.0,0.0027003161048503557,Ectorhinal area
0.34285714285714286,0.0,0.003324229758284164,Main olfactory bulb
0.9841269841269841,0.00029363036189635356,0.0028050750944156265,Accessory olfactory bulb
0.9714285714285714,0.00030021141894679657,0.0035736441577406456,Anterior olfactory nucleus
1.1301587301587301,0.0005075430175656413,0.0030504826068899937,Taenia tecta
1.126984126984127,0.0005345384134646992,0.0033420824400717487,Dorsal peduncular area
1.2126984126984126,0.000591687645367485,0.0026329074750456732,Piriform area
0.3333333333333333,0.0,0.002614957963336224,Nucleus of the lateral olfactory tract
0.33650793650793653,0.0,0.002934517067818364,"Cortical amygdalar area, anterior part"
1.0285714285714285,0.00036818573330959576,0.0025965281083385728,"Cortical amygdalar area, posterior part"
0.33650793650793653,0.0,0.0024228232358222083,Piriform-amygdalar area
0.33650793650793653,0.0,0.002434756691437256,Postpiriform transition area
1.126984126984127,0.00036355394555674853,0.0037377054781421145,Field CA1
0.30158730158730157,0.0,0.0032749002672400455,Field CA2
1.0888888888888888,0.00031489326216013297,0.0038491294855666908,Field CA3
1.2825396825396826,0.0006610769172476245,0.004562025763842286,Dentate gyrus
0.28888888888888886,0.0,0.002573661239548055,Fasciola cinerea
0.3396825396825397,0.0,0.004085143762803178,Induseum griseum
1.3142857142857143,0.0008079149192648256,0.0032087178310527347,"Entorhinal area, lateral part"
1.1746031746031746,0.000435168630174408,0.0030769940956871457,"Entorhinal area, medial part, dorsal zone"
0.33650793650793653,0.0,0.002796473544144993,Parasubiculum
0.33650793650793653,0.0,0.00361793732305193,Postsubiculum
0.33015873015873015,0.0,0.002764624440831625,Presubiculum
1.3333333333333333,0.000801822172870111,0.003645880403152591,Subiculum
0.33650793650793653,0.0,0.0029745356447989854,Prosubiculum
0.33015873015873015,0.0,0.002277553857413304,Hippocampo-amygdalar transition area
0.33650793650793653,0.0,0.0027069405642309915,Area prostriata
0.3142857142857143,0.0,0.0036969346459884657,Claustrum
0.326984126984127,0.0,0.0028140937846532076,"Endopiriform nucleus, dorsal part"
0.29523809523809524,0.0,0.0026762091592525765,"Endopiriform nucleus, ventral part"
0.3047619047619048,0.0,0.0026933468004573928,Lateral amygdalar nucleus
0.28253968253968254,0.0,0.003052535542917114,Basolateral amygdalar nucleus
