strategy,step,efficiency,components
targeted,0,0.7398633715089411,209
targeted,1,0.7382064503083612,209
targeted,2,0.7365336480739098,209
targeted,3,0.7348550012288031,209
targeted,4,0.7331498886965125,209
targeted,5,0.7314593921792345,209
targeted,6,0.7297317047708529,209
targeted,7,0.7279872231328542,209
targeted,8,0.7262151529252506,209
targeted,9,0.7244576440782611,209
targeted,10,0.7226722382942248,209
targeted,11,0.7208477135461605,209
targeted,12,0.7190702622893869,209
targeted,13,0.7172425851856709,209
targeted,14,0.7154298035246749,209
targeted,15,0.7135991140642304,209
targeted,16,0.7117725752508361,209
targeted,17,0.7098942784673745,209
targeted,18,0.7080084965991006,209
targeted,19,0.7061493311493311,209
targeted,20,0.7042487402656894,209
targeted,21,0.7022368269341634,209
targeted,22,0.7003087924589632,209
targeted,23,0.6982561129552574,209
targeted,24,0.6961822718071835,209
targeted,25,0.6941343761109137,209
targeted,26,0.6920534542417373,209
targeted,27,0.6899269511726259,209
targeted,28,0.6878508517228029,209
targeted,29,0.6857410881801126,209
targeted,30,0.6836339099496994,209
targeted,31,0.6814059797380776,209
targeted,32,0.6791544318917035,209
targeted,33,0.67707941758765,209
targeted,34,0.6749829635799197,209
targeted,35,0.6729028978139299,209
targeted,36,0.6708141321044547,209
targeted,37,0.668549031742348,209
targeted,38,0.6663117159701841,209
targeted,39,0.6641291267723539,209
targeted,40,0.661699604743083,209
targeted,41,0.6593231585932315,209
targeted,42,0.6569610438223576,209
targeted,43,0.6544386985563456,209
targeted,44,0.6522275884523551,209
targeted,45,0.6500341670083367,209
targeted,46,0.6474551379136261,209
targeted,47,0.6451987275518318,209
targeted,48,0.6426947658710194,209
targeted,49,0.6402194625139628,209
random_trial_0,0,0.7398633715089411,209
random_trial_0,1,0.740612678192296,208
random_trial_0,2,0.7413259803422804,207
random_trial_0,3,0.7424121405750799,206
random_trial_0,4,0.7431362849369281,205
random_trial_0,5,0.7424229851675137,205
random_trial_0,6,0.7431777847374464,204
random_trial_0,7,0.744168452906317,203
random_trial_0,8,0.7451351580016076,202
random_trial_0,9,0.7438100104319687,202
random_trial_0,10,0.7443801564341583,201
random_trial_0,11,0.7427739430543572,201
random_trial_0,12,0.7433233454924439,200
random_trial_0,13,0.743940288068542,199
random_trial_0,14,0.7446810851246397,198
random_trial_0,15,0.7443521594684386,198
random_trial_0,16,0.7449832775919732,197
random_trial_0,17,0.7432717559650738,197
random_trial_0,18,0.7415542449099496,197
random_trial_0,19,0.7421967421967421,196
random_trial_0,20,0.7417430142006414,196
random_trial_0,21,0.740781736423383,196
random_trial_0,22,0.7396159829119361,196
random_trial_0,23,0.738475384543457,196
random_trial_0,24,0.7367368074189145,196
random_trial_0,25,0.7373622467116957,195
random_trial_0,26,0.7381100107385753,194
random_trial_0,27,0.7389345444059977,193
random_trial_0,28,0.7396559233449478,192
random_trial_0,29,0.7379937136034697,192
random_trial_0,30,0.7389154704944179,191
random_trial_0,31,0.739498393872004,190
random_trial_0,32,0.740357338376549,189
random_trial_0,33,0.7408716136631331,188
random_trial_0,34,0.7417783498649706,187
random_trial_0,35,0.7425139806812404,186
random_trial_0,36,0.7406682027649769,186
random_trial_0,37,0.7413939815889224,185
random_trial_0,38,0.7422538503493235,184
random_trial_0,39,0.740451525139957,184
random_trial_0,40,0.7409749670619236,183
random_trial_0,41,0.7391506303915063,183
random_trial_0,42,0.73992673992674,182
random_trial_0,43,0.7408963585434174,181
random_trial_0,44,0.7389841545474278,181
random_trial_0,45,0.739497061637283,180
random_trial_0,46,0.7400247831474597,179
random_trial_0,47,0.7390695222770903,179
